,name,Land,Maschinennummer,Nettowert,Menge,Verkaufsbeleg,latitude,longitude
171,Germany,DEU,31009721,917.62,1.0,1,51.165691,10.451526
172,Poland,POL,3041920,916.65,27.0,2,51.919438,19.145136
173,Austria,AUT,31026230,910.0,1.0,1,47.516231,14.550072
174,Germany,DEU,6005231,890.28,34.0,2,51.165691,10.451526
175,Mexico,MEX,3029740,885.27,26.0,4,23.634501,-102.552784
176,Germany,DEU,50400590,884.8,1.0,1,51.165691,10.451526
177,Dem. Rep. Congo,COD,0,883.2,32.0,1,-0.228021,15.827659
178,Belgium,BEL,3043150,883.1899999999999,34.0,13,50.503887,4.469936
179,Germany,DEU,6006270,882.4,4.0,2,51.165691,10.451526
180,United Kingdom,GBR,6007140,880.6,7.0,2,55.378051,-3.435973
181,Poland,POL,31013810,875.0,1.0,1,51.919438,19.145136
182,Switzerland,CHE,3041261,871.2,6.0,4,46.818188,8.227512
183,Germany,DEU,3024430,870.0699999999999,3.0,2,51.165691,10.451526
184,Austria,AUT,7006740,862.8,5.0,3,47.516231,14.550072
185,Germany,DEU,3400740,861.1,1.0,1,51.165691,10.451526
186,Austria,AUT,6103020,857.37,7.0,2,47.516231,14.550072
187,Germany,DEU,3049560,850.24,23.0,10,51.165691,10.451526
188,Suriname,SUR,3043470,846.5600000000001,20.0,2,3.919305,-56.027783
189,Poland,POL,3069570,845.6,40.0,1,51.919438,19.145136
190,United States of America,USA,3014220,845.6,40.0,1,37.09024,-95.712891
191,Spain,ESP,3053880,845.6,40.0,1,40.463667,-3.74922
192,Germany,DEU,56001202,843.5,1.0,1,51.165691,10.451526
193,Germany,DEU,3066800,841.32,12.0,1,51.165691,10.451526
194,Australia,AUS,3055740,838.15,10.0,4,-25.274398,133.775136
195,Austria,AUT,5415620,826.97,3.0,2,47.516231,14.550072
196,Austria,AUT,6004141,820.0,4.0,1,47.516231,14.550072
197,Netherlands,NLD,3057730,816.8299999999999,9.0,5,52.132633,5.291266
198,Germany,DEU,32400290,804.6,22.0,4,51.165691,10.451526
199,Austria,AUT,6005841,803.09,26.0,7,47.516231,14.550072
200,Austria,AUT,32400730,802.27,55.0,2,47.516231,14.550072
201,Germany,DEU,7008120,799.2,1.0,1,51.165691,10.451526
202,Germany,DEU,7007260,799.2,1.0,1,51.165691,10.451526
203,Serbia,SRB,3052180,794.15,3.0,2,44.016521,21.005859
204,Germany,DEU,38000480,793.1,1.0,1,51.165691,10.451526
205,Germany,DEU,38000470,793.1,1.0,1,51.165691,10.451526
206,Germany,DEU,6004670,787.5,8.0,3,51.165691,10.451526
207,Germany,DEU,7004141,785.0,10.0,1,51.165691,10.451526
208,Sweden,SWE,3066760,776.65,1.0,1,60.128161,18.643501
209,Germany,DEU,3044360,765.2,4.0,1,51.165691,10.451526
210,Germany,DEU,6005890,752.57,12.0,5,51.165691,10.451526
211,Germany,DEU,51002170,747.6,6.0,1,51.165691,10.451526
212,Austria,AUT,3042310,746.6,5.0,2,47.516231,14.550072
213,Germany,DEU,3048960,745.99,10.0,7,51.165691,10.451526
214,Germany,DEU,7008450,744.1,1.0,1,51.165691,10.451526
215,Poland,POL,6006360,742.0500000000001,48.0,2,51.919438,19.145136
216,Germany,DEU,6005141,737.86,9.0,2,51.165691,10.451526
217,Austria,AUT,3052340,737.1,7.0,3,47.516231,14.550072
218,Poland,POL,3062150,735.0,1.0,1,51.919438,19.145136
219,Finland,FIN,3035400,733.46,17.0,5,61.892635,-6.911806
220,Spain,ESP,3056290,727.3,37.0,3,40.463667,-3.74922
221,Mexico,MEX,3057740,724.8,24.0,1,23.634501,-102.552784
222,Austria,AUT,6007040,724.2,52.0,2,47.516231,14.550072
223,Germany,DEU,3027840,721.44,6.0,1,51.165691,10.451526
224,United Kingdom,GBR,3061920,719.81,1.0,1,55.378051,-3.435973
225,Netherlands,NLD,3036120,718.97,5.0,2,52.132633,5.291266
226,Poland,POL,3046110,715.4,21.0,5,51.919438,19.145136
227,Germany,DEU,6007330,709.8,25.0,5,51.165691,10.451526
228,Canada,CAN,3049780,709.8,1.0,1,56.130366,-106.346771
229,Germany,DEU,6006150,709.65,10.0,1,51.165691,10.451526
230,Slovakia,SVK,3051530,709.45,1.0,1,48.669026,19.699024
231,Germany,DEU,3064930,707.9,7.0,2,51.165691,10.451526
232,Italy,ITA,7004921,705.0,25.0,1,41.87194,12.56738
233,Italy,ITA,6601590,698.6,2.0,1,41.87194,12.56738
234,Germany,DEU,3040201,692.06,51.0,11,51.165691,10.451526
235,Germany,DEU,31029500,689.67,1.0,1,51.165691,10.451526
236,Austria,AUT,3066050,689.5,1.0,1,47.516231,14.550072
237,United States of America,USA,3056090,681.66,2.0,1,37.09024,-95.712891
238,Chile,CHL,6105850,681.3,7.0,2,-35.675147,-71.542969
239,Germany,DEU,6005800,678.4,8.0,2,51.165691,10.451526
240,Poland,POL,3053430,675.22,6.0,2,51.919438,19.145136
241,Switzerland,CHE,31601310,675.2,20.0,1,46.818188,8.227512
242,Belgium,BEL,31011780,664.09,1.0,1,50.503887,4.469936
243,Austria,AUT,31034560,664.09,1.0,1,47.516231,14.550072
244,Australia,AUS,31032370,664.09,1.0,1,-25.274398,133.775136
245,Brazil,BRA,3058400,662.15,1.0,1,-14.235004,-51.92528
246,Poland,POL,3209240,660.73,8.0,6,51.919438,19.145136
247,Germany,DEU,51002540,649.5,1.0,1,51.165691,10.451526
248,Colombia,COL,31034030,646.85,1.0,1,4.570868,-74.297333
249,Germany,DEU,3050230,646.7,4.0,3,51.165691,10.451526
250,Germany,DEU,51001470,643.72,1.0,1,51.165691,10.451526
251,Germany,DEU,6009210,643.5,45.0,1,51.165691,10.451526
252,Germany,DEU,6006323,640.0,50.0,1,51.165691,10.451526
253,Poland,POL,31038220,634.97,2.0,2,51.919438,19.145136
254,Canada,CAN,3056920,622.79,12.0,3,56.130366,-106.346771
255,Australia,AUS,32400250,621.46,2.0,1,-25.274398,133.775136
256,Austria,AUT,6603460,621.32,4.0,1,47.516231,14.550072
257,Poland,POL,6008230,619.92,8.0,1,51.919438,19.145136
258,China,CHN,3059890,617.0,2.0,1,35.86166,104.195397
259,Netherlands,NLD,3051800,615.44,33.0,7,52.132633,5.291266
260,Switzerland,CHE,3045270,612.1,4.0,3,46.818188,8.227512
261,Austria,AUT,6005410,611.46,24.0,3,47.516231,14.550072
262,Germany,DEU,6008580,610.0,1.0,1,51.165691,10.451526
263,Italy,ITA,3048840,604.0,20.0,1,41.87194,12.56738
264,Philippines,PHL,3054790,599.12,1.0,1,12.879721,121.774017
265,Lebanon,LBN,31028780,596.36,2.0,2,33.854721,35.862285
266,Ireland,IRL,6008560,592.9,1.0,1,53.41291,-8.24389
267,Austria,AUT,5411341,591.92,1.0,1,47.516231,14.550072
268,Austria,AUT,3209400,589.4,2.0,1,47.516231,14.550072
269,Austria,AUT,7001441,589.31,31.0,3,47.516231,14.550072
270,Germany,DEU,6008690,585.0,1.0,1,51.165691,10.451526
271,Spain,ESP,3036200,583.3100000000001,2.0,2,40.463667,-3.74922
272,Germany,DEU,6009120,575.82,2.0,1,51.165691,10.451526
273,Canada,CAN,6105340,575.82,2.0,1,56.130366,-106.346771
274,Germany,DEU,32100590,572.7,3.0,1,51.165691,10.451526
275,Philippines,PHL,31012590,571.9,3.0,3,12.879721,121.774017
276,United Kingdom,GBR,90002070,571.41,1.0,1,55.378051,-3.435973
277,Austria,AUT,3043420,571.14,39.0,4,47.516231,14.550072
278,United Kingdom,GBR,31004570,568.12,1.0,1,55.378051,-3.435973
279,United Kingdom,GBR,3060350,565.04,2.0,1,55.378051,-3.435973
280,Austria,AUT,3050570,563.58,27.0,4,47.516231,14.550072
281,Slovenia,SVN,38000150,562.03,1.0,1,46.151241,14.995463
282,Guatemala,GTM,6602480,556.87,1.0,1,15.783471,-90.230759
283,Zambia,ZMB,3049700,556.8,12.0,1,-13.133897,27.849332
284,Austria,AUT,3035570,556.2900000000001,7.0,2,47.516231,14.550072
285,Germany,DEU,6003291,554.9,1.0,1,51.165691,10.451526
286,Switzerland,CHE,3057220,545.0,10.0,1,46.818188,8.227512
287,Germany,DEU,3019670,543.6,20.0,1,51.165691,10.451526
288,Russia,RUS,5410500,543.2,1.0,1,61.52401,105.318756
289,Austria,AUT,5412050,543.2,1.0,1,47.516231,14.550072
290,Russia,RUS,3054240,539.42,2.0,1,61.52401,105.318756
291,Poland,POL,5415940,536.9,1.0,1,51.919438,19.145136
292,Austria,AUT,5412200,536.27,1.0,1,47.516231,14.550072
293,Italy,ITA,5403380,535.5,2.0,1,41.87194,12.56738
294,Poland,POL,3047560,534.97,39.0,4,51.919438,19.145136
295,Austria,AUT,7008330,534.27,2.0,2,47.516231,14.550072
296,United Kingdom,GBR,3049380,534.1,1.0,1,55.378051,-3.435973
297,Germany,DEU,6004760,532.8,8.0,1,51.165691,10.451526
298,Poland,POL,3050300,532.0,20.0,1,51.919438,19.145136
299,United States of America,USA,3055250,532.0,20.0,1,37.09024,-95.712891
300,United Kingdom,GBR,3049440,531.51,5.0,3,55.378051,-3.435973
301,Belgium,BEL,6006400,531.03,3.0,2,50.503887,4.469936
302,Poland,POL,3054610,526.15,63.0,5,51.919438,19.145136
303,Germany,DEU,7001922,523.44,1.0,1,51.165691,10.451526
304,Switzerland,CHE,31034910,523.25,5.0,1,46.818188,8.227512
305,Austria,AUT,7100940,523.18,1.0,1,47.516231,14.550072
306,Germany,DEU,32100200,522.0,2.0,1,51.165691,10.451526
307,Canada,CAN,3066820,521.64,36.0,1,56.130366,-106.346771
308,Romania,ROU,3048470,520.99,22.0,2,45.943161,24.96676
309,Austria,AUT,7007350,520.39,6.0,2,47.516231,14.550072
310,Poland,POL,3053090,520.03,10.0,6,51.919438,19.145136
311,Austria,AUT,6008300,518.68,23.0,3,47.516231,14.550072
312,Austria,AUT,3025721,518.4,24.0,1,47.516231,14.550072
313,Austria,AUT,6007070,515.1800000000001,13.0,3,47.516231,14.550072
314,Switzerland,CHE,3044440,513.0,1.0,1,46.818188,8.227512
315,Germany,DEU,7008260,508.8,8.0,3,51.165691,10.451526
316,Thailand,THA,31023640,506.97,1.0,1,15.870032,100.992541
317,Germany,DEU,7008400,504.01,244.0,4,51.165691,10.451526
318,United Kingdom,GBR,31300100,502.74,1.0,1,55.378051,-3.435973
319,Belgium,BEL,31313170,502.74,1.0,1,50.503887,4.469936
320,Belgium,BEL,32100850,499.80000000000007,2.0,2,50.503887,4.469936
321,Germany,DEU,3021511,499.3,1.0,1,51.165691,10.451526
322,Germany,DEU,3035200,496.89,5.0,3,51.165691,10.451526
323,Czechia,CZE,6008550,491.6,4.0,1,49.817492,15.472962
324,United Kingdom,GBR,38001670,491.05,5.0,2,55.378051,-3.435973
325,Germany,DEU,56000660,490.0,20.0,1,51.165691,10.451526
326,Germany,DEU,6105500,487.5,25.0,1,51.165691,10.451526
327,Germany,DEU,3028430,486.4,16.0,1,51.165691,10.451526
328,Germany,DEU,32100840,486.08,7.0,3,51.165691,10.451526
329,Switzerland,CHE,3040681,485.8,21.0,10,46.818188,8.227512
330,Spain,ESP,3053180,485.17,2.0,2,40.463667,-3.74922
331,Switzerland,CHE,6103940,485.0,212.0,5,46.818188,8.227512
332,Netherlands,NLD,3061190,482.65,1.0,1,52.132633,5.291266
333,Austria,AUT,3039110,482.3,7.0,2,47.516231,14.550072
334,Germany,DEU,5410450,482.08,2.0,2,51.165691,10.451526
335,United States of America,USA,3040821,480.06,2.0,2,37.09024,-95.712891
336,Germany,DEU,5411570,479.61,3.0,2,51.165691,10.451526
337,Austria,AUT,6600220,478.73,1.0,1,47.516231,14.550072
338,United States of America,USA,31033120,478.66,1.0,1,37.09024,-95.712891
339,Austria,AUT,3054580,478.24,1.0,1,47.516231,14.550072
340,Malaysia,MYS,7006680,478.01000000000005,21.0,5,4.210484,101.975766
341,Portugal,PRT,3052330,476.0,20.0,1,39.399872,-8.224454
342,Czechia,CZE,3056900,475.6,9.0,4,49.817492,15.472962
343,Belgium,BEL,3045260,475.3,1.0,1,50.503887,4.469936
344,Poland,POL,3049810,475.3,1.0,1,51.919438,19.145136
345,Germany,DEU,31004540,474.4,4.0,1,51.165691,10.451526
346,Germany,DEU,6004160,474.3,1.0,1,51.165691,10.451526
347,Germany,DEU,5415470,472.8,1.0,1,51.165691,10.451526
348,Germany,DEU,32600770,472.48999999999995,13.0,2,51.165691,10.451526
349,Austria,AUT,6103660,467.28,2.0,1,47.516231,14.550072
350,Germany,DEU,32600730,467.1,3.0,1,51.165691,10.451526
351,Italy,ITA,32000250,462.8,17.0,4,41.87194,12.56738
352,Germany,DEU,6006170,462.24,12.0,1,51.165691,10.451526
353,Czechia,CZE,31005631,461.09,3.0,3,49.817492,15.472962
354,United Kingdom,GBR,3018574,460.95,1.0,1,55.378051,-3.435973
355,Germany,DEU,3043270,460.35,3.0,2,51.165691,10.451526
356,Germany,DEU,38200430,460.33,9.0,2,51.165691,10.451526
357,Austria,AUT,3033650,456.96000000000004,21.0,2,47.516231,14.550072
358,Germany,DEU,31021560,456.0,3.0,2,51.165691,10.451526
359,Germany,DEU,32601160,453.09,3.0,1,51.165691,10.451526
360,Poland,POL,3050090,451.78,10.0,5,51.919438,19.145136
361,Austria,AUT,7007510,451.6,4.0,1,47.516231,14.550072
362,Austria,AUT,50400570,450.0,1.0,1,47.516231,14.550072
363,Poland,POL,3061070,449.54,4.0,3,51.919438,19.145136
364,Poland,POL,6601690,449.12,2.0,1,51.919438,19.145136
365,Slovakia,SVK,3042700,446.46,3.0,2,48.669026,19.699024
366,Austria,AUT,3038400,445.06,22.0,3,47.516231,14.550072
367,Germany,DEU,6007820,444.60999999999996,2.0,2,51.165691,10.451526
368,United Kingdom,GBR,3017890,443.8,20.0,1,55.378051,-3.435973
369,United Kingdom,GBR,31014220,442.4,8.0,1,55.378051,-3.435973
370,Germany,DEU,31003322,441.9,1.0,1,51.165691,10.451526
371,Germany,DEU,6800890,441.9,1.0,1,51.165691,10.451526
372,United Kingdom,GBR,6105180,437.4,1.0,1,55.378051,-3.435973
373,Poland,POL,3056210,437.01,2.0,2,51.919438,19.145136
374,Italy,ITA,6104130,436.6,6.0,2,41.87194,12.56738
375,Germany,DEU,3037771,435.6,4.0,2,51.165691,10.451526
376,Netherlands,NLD,3061560,434.08,5.0,3,52.132633,5.291266
377,Austria,AUT,3020953,434.0,20.0,1,47.516231,14.550072
378,Germany,DEU,32100280,433.9,7.0,3,51.165691,10.451526
379,Germany,DEU,7008080,433.44,1.0,1,51.165691,10.451526
380,Mexico,MEX,0,433.04,2.0,2,23.634501,-102.552784
381,Austria,AUT,32400540,433.0,10.0,1,47.516231,14.550072
382,Finland,FIN,51000703,430.85,1.0,1,61.892635,-6.911806
383,Germany,DEU,31023890,429.84,1.0,1,51.165691,10.451526
384,Germany,DEU,3039982,427.68,8.0,4,51.165691,10.451526
385,Slovakia,SVK,3047580,427.0,1.0,1,48.669026,19.699024
386,Canada,CAN,3037720,425.24999999999994,12.0,5,56.130366,-106.346771
387,United Kingdom,GBR,3061940,424.83,18.0,4,55.378051,-3.435973
388,South Africa,ZAF,6008450,424.5,5.0,1,-30.559482,22.937506
389,Germany,DEU,3042130,424.03,76.0,8,51.165691,10.451526
390,Poland,POL,3032060,422.8,20.0,1,51.919438,19.145136
391,Austria,AUT,5405860,420.93,1.0,1,47.516231,14.550072
392,Belgium,BEL,3050560,419.11,11.0,7,50.503887,4.469936
